Description,Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,RoHS Status,Lead Free Status,REACH Status
CONN JACK STEREO 3.5MM R/A,SJ1-3525NG,CUI Inc.,CP1-3525NG-ND,Tray,Active,1,1.17,$1.17,7885,6 Weeks,RoHS Compliant,Lead free,Not Available
CONN PWR JACK 2X5.5MM SOLDER,PJ-102A,CUI Inc.,CP-102A-ND,Tray,Active,1,0.91,$0.91,90996,6 Weeks,RoHS Compliant,Lead free,Not Available
CONN HDR 5POS 0.1 TIN PCB,PPTC051LFBN-RC,Sullins Connector Solutions,S6103-ND,Tray,Active,2,0.67,$1.34,24441,5 Weeks,ROHS3 Compliant,Lead free,REACH Unaffected
CONN HDR 4POS 0.1 TIN PCB,PPTC041LFBN-RC,Sullins Connector Solutions,S7002-ND,Tray,Active,2,0.64,$1.28,25758,5 Weeks,ROHS3 Compliant,Lead free,REACH Unaffected
CONN IC DIP SOCKET 8POS TIN,A 08-LC-TT,Assmann WSW Components,AE9986-ND,Tube,Active,1,0.26,$0.26,58954,20 Weeks,Not Available,Lead free,REACH Unaffected
CONN IC DIP SOCKET 28POS TIN,ED281DT,On Shore Technology Inc.,ED3050-5-ND,Tube,Active,1,0.47,$0.47,12079,8 Weeks,Not Available,Lead free,REACH Unaffected
,,,,,,,,,,,,,
CRYSTAL 16.0000MHZ 20PF T/H,9B-16.000MBBK-B,TXC CORPORATION,887-2015-ND,Bulk,Active,1,0.45,$0.45,2894,13 Weeks,RoHS Compliant,Lead free,Not Available
IC MCU 8BIT 32KB FLASH 28DIP,ATMEGA328P-PU,Microchip Technology,ATMEGA328P-PU-ND,Tube,Active,1,3.24,$3.24,9121,7 Weeks,Not Available,Lead free,REACH Unaffected
IC REG LINEAR 5V 1.5A TO220AB,L7805CV,STMicroelectronics,497-1443-5-ND,Tube,Active,1,0.76,$0.76,46383,6 Weeks,ROHS3 Compliant,Lead free,REACH Unaffected
MOSFET N-CH 60V 32A TO-220,FQP30N06L,ON Semiconductor,FQP30N06L-ND,Tube,Active,3,1.82,$5.46,11313,4 Weeks,ROHS3 Compliant,Lead free,REACH Unaffected
SWITCH TACTILE SPST-NO 0.05A 24V,B3F-1000,Omron Electronics Inc-EMC Div,SW400-ND,Bulk,Active,1,0.41,$0.41,23126,13 Weeks,RoHS Compliant,Lead free,Not Available
,,,,,,,,,,,,,
RES SMD 10K OHM 0.1% 1/8W 0805,ERA-6AEB103V,Panasonic Electronic Components,P10KDACT-ND,Cut Tape (CT),Active,1,0.55,$0.55,940600,17 Weeks,RoHS Compliant,Lead free,REACH Unaffected
RES SMD 220 OHM 0.1% 1/8W 0805,ERA-6AEB221V,Panasonic Electronic Components,P220DACT-ND,Cut Tape (CT),Active,2,0.55,$1.10,118493,17 Weeks,RoHS Compliant,Lead free,REACH Unaffected
RES SMD 22K OHM 0.5% 1/4W 0805,ERJ-PB6D2202V,Panasonic Electronic Components,P21169CT-ND,Cut Tape (CT),Active,2,0.38,$0.76,15468,18 Weeks,ROHS3 Compliant,Lead free,Not Available
RES SMD 200K OHM 0.1% 1/8W 0805,ERA-6AEB204V,Panasonic Electronic Components,P200KDACT-ND,Cut Tape (CT),Active,1,0.55,$0.55,67582,17 Weeks,RoHS Compliant,Lead free,REACH Unaffected
CAP CER 22PF 50V C0G/NP0 0805,CL21C220JB61PNC,Samsung Electro-Mechanics,1276-2605-1-ND,Cut Tape (CT),Active,2,0.28,$0.56,230182,Not Available,ROHS3 Compliant,Lead free,REACH Unaffected
CAP CER 33PF 50V C0G/NP0 0805,CL21C330JBANNNC,Samsung Electro-Mechanics,1276-1105-1-ND,Cut Tape (CT),Active,1,0.14,$0.14,360479,Not Available,ROHS3 Compliant,Lead free,REACH Unaffected
CAP CER 0.1UF 50V Y5V 0805,CL21F104ZBCNNNC,Samsung Electro-Mechanics,1276-1007-1-ND,Cut Tape (CT),Active,5,0.14,$0.70,4739532,Not Available,ROHS3 Compliant,Lead free,REACH Unaffected
CAP CER 10UF 25V X5R 0805,CL21A106KAFN3NE,Samsung Electro-Mechanics,1276-2890-1-ND,Cut Tape (CT),Active,2,0.4,$0.80,341178,Not Available,ROHS3 Compliant,Lead free,REACH Unaffected
LED GREEN DIFFUSED 0805 SMD,LG R971-KN-1,OSRAM Opto Semiconductors Inc.,475-1410-1-ND,Cut Tape (CT),Active,1,0.44,$0.44,181720,12 Weeks,ROHS3 Compliant,Lead free,REACH Unaffected
LED YELLOW DIFFUSED 0805 SMD,LY R976-PS-36,OSRAM Opto Semiconductors Inc.,475-2560-1-ND,Cut Tape (CT),Active,1,0.47,$0.47,57422,12 Weeks,ROHS3 Compliant,Lead free,REACH Unaffected
,,,,,,,,,,,,,
BRASS SPACER STUD METRIC THREAD,970050244,Wurth Electronics Inc.,732-12789-ND,Bulk,Active,1,0.54,$0.54,250,17 Weeks,Not Available,Lead free,Not Available
BRASS SPACER STUD METRIC THREAD,971100244,Wurth Electronics Inc.,732-12918-ND,Bulk,Active,1,0.88,$0.88,2755,17 Weeks,Not Available,Lead free,Not Available
